,当前组合商品名称,总毛利,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,毛利排名,该组合下客户最终的订单金额
241,【杨果铺】嘴强大脑奶香核桃-1包500g,15.512712000000006,280.0000%,6.9,16.800000000000004,0.916201117318436,72.0,40.752712
242,【脆甜】冰糖冬枣-约半斤,15.512712000000006,56.6667%,6.6,3.4000000000000004,1.0,72.0,40.752712
243,【皮薄水润】东江湖蜜桔子-450-500g,15.512712000000006,43.3333%,6.6,2.5999999999999996,1.0,72.0,40.752712
244,【满山红】红富士苹果75#-约1斤,17.678712000000004,-12.8289%,35.8,-4.4901,0.0015,73.0,41.36871200000001
245,【杨果铺】嘴强大脑奶香核桃-1包500g,17.678712000000004,240.0000%,7.6,16.800000000000004,0.916201117318436,73.0,41.36871200000001
246,【真的超甜】黄蒂柑橘子1个,17.678712000000004,94.1667%,6.6,5.6499999999999995,1.0,73.0,41.36871200000001
247,【皮薄水润】东江湖蜜桔子-450-500g,17.678712000000004,43.3333%,6.6,2.5999999999999996,1.0,73.0,41.36871200000001
248,【满山红】红富士苹果75#-约1斤,7.386712,-74.8350%,6.9,-4.4901,0.0015,74.0,18.576712
249,【脆甜】冰糖冬枣-约半斤,7.386712,48.5714%,7.6,3.4000000000000004,1.0,74.0,18.576712
250,【真的超甜】黄蒂柑橘子1个,7.386712,94.1667%,6.6,5.6499999999999995,1.0,74.0,18.576712
251,【皮薄水润】东江湖蜜桔子-450-500g,7.386712,43.3333%,6.6,2.5999999999999996,1.0,74.0,18.576712
