,当前组合商品名称,总毛利,总毛利率,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,每款商品的活动价,毛利排名,该组合下客户最终的订单金额
38,沙洲绿宝瓜1只-约3斤,16.50400000000001,14.5816%,-7.90%,69.0,-9.6,0.1,69.0,188.0,113.184
39,优选车厘子XL-1斤,16.50400000000001,14.5816%,43.05%,29.8,22.0,1.0,29.8,188.0,113.184
40,花生糖/芝麻粮任选1包(500g),16.50400000000001,14.5816%,28.62%,23.96,11.600000000000001,1.0,23.96,188.0,113.184
41,佳沛阳光金果36#,16.50400000000001,14.5816%,9.61%,30.0,5.080000000000002,1.0,3.0,188.0,113.184
42,酥极红薯片5包,16.490759999999998,15.1862%,-17.66%,69.0,-21.1,0.1,69.0,189.0,108.59076
43,优选车厘子XL-1斤,16.490759999999998,15.1862%,50.82%,25.3,22.0,1.0,25.3,189.0,108.59076
44,红肉菠萝蜜1斤,16.490759999999998,15.1862%,51.70%,21.4564,18.8,1.0,21.4564,189.0,108.59076
45,凯特芒青1个-约700g,16.490759999999998,15.1862%,10.44%,49.0,8.856399999999999,1.0,4.9,189.0,108.59076
46,沙洲绿宝瓜1只-约3斤,16.080760000000005,21.5905%,-21.86%,29.8,-9.6,0.1,29.8,191.0,74.48076
47,花生糖/芝麻粮任选1包(500g),16.080760000000005,21.5905%,27.35%,28.5,11.600000000000001,1.0,28.5,191.0,74.48076
48,网纹瓜1只约3斤,16.080760000000005,21.5905%,42.44%,21.4564,13.5,1.0,21.4564,191.0,74.48076
49,凯特芒青1个-约700g,16.080760000000005,21.5905%,19.49%,30.0,8.856399999999999,1.0,3.0,191.0,74.48076
50,奶油草莓,15.96000000000001,20.2899%,-42.78%,29.8,-19.2,0.1,29.8,192.0,78.66
51,花生糖/芝麻粮任选1包(500g),15.96000000000001,20.2899%,26.77%,28.5,11.600000000000001,1.0,28.5,192.0,78.66
52,网纹瓜1只约3斤,15.96000000000001,20.2899%,34.89%,25.3,13.5,1.0,25.3,192.0,78.66
